,FIPS,Pop2010,LAPOP05_10,TractWhite,TractBlack,TractAsian,TractAIAN,TractHispanic,lawhite,lablack,laaian,laasian,lahisp,total_est,aian_est,asian_est,black_est,hisp_est,nhwhite_est,Fast Food,Restaurant,Grocery,Convenience,Market,metric,white_metric,black_metric,aian_metric,asian_metric,hisp_metric,AREA,la
221,06073,3095313,1492014.0,1981442.0,158213.0,336091.0,26340.0,991348.0,0.508214219745014,0.4394961223161182,0.5187315340190602,0.39263477600607444,0.381527980083684,12.325603,21.841183,9.9888525,18.255169,19.071283,8.0667858,2736,2593,579,758,46.0,1.1113490787804077,2.0763327878899887,0.8211918676204011,1.7713423241159214,1.4006920559588483,0.5757062051211526,10895.13,0.48202362733591075
222,06075,805235,80194.0,390387.0,48870.0,267915.0,4024.0,121774.0,0.07740267990481241,0.1775936157151627,0.11390552973890973,0.08499005964214712,0.09138239689917388,11.8615,18.019154,11.418342,26.851463,14.441813,8.9683571,958,1917,358,112,28.0,0.5251933628877711,0.6200843600934786,0.9015519960860173,1.359794075004371,0.5456953265313149,0.3643643018005541,121.39,0.09959080268493048
223,06077,685306,333839.0,349287.0,51744.0,98472.0,7196.0,266341.0,0.4724338438018019,0.536525974025974,0.551628889430498,0.47373540856031127,0.461262066298467,16.043638,26.628408,15.724868,21.921261,22.063265,9.0382309,466,391,160,153,15.0,1.8246973416339711,2.937119744058894,1.9697595223459,2.8232412056152647,2.4402879552081944,0.9733445930703432,3603.5,0.48713859210338156
224,06079,269637,134152.0,222756.0,5550.0,8507.0,2536.0,55973.0,0.4932437285639893,0.7500900900900901,0.4672622546138474,0.4574132492113565,0.5020098976292141,12.937161,12.239694,19.951696,19.427191,19.229668,10.723474,234,340,69,92,21.0,1.6471238371091528,1.5449048500314049,3.8296832113404915,2.322952419941237,2.2508685364336483,1.3775817705392739,8543.26,0.497528158227543
225,06081,718451,261821.0,383535.0,20436.0,178118.0,3306.0,182502.0,0.42392480477661754,0.24373654335486397,0.3392582445345221,0.27192982456140347,0.23227142716244206,6.9920259,13.16465,4.9811864,15.196846,12.335217,4.6004286,593,828,182,148,23.0,0.6454826694584385,1.4137492271273262,0.30755845868332166,1.3060448993023994,0.8497239726050978,0.27068757256866033,1161.38,0.3644242961593762
226,06083,423895,185902.0,295124.0,8513.0,20665.0,5485.0,181687.0,0.45702484379447283,0.4930106895336544,0.47640938785385917,0.39197812215132183,0.37653767193029775,14.344807,26.214802,17.985279,16.312456,19.093544,9.7169428,344,408,120,99,13.0,1.7809159756227237,3.3916368315228156,2.5101314621531707,2.1999996727547186,2.1187090734262886,1.0357645228724668,7083.86,0.43855671805517876
227,06085,1781642,765146.0,836616.0,46428.0,570524.0,12960.0,479210.0,0.4515560304847146,0.4035065046954424,0.42721252743092314,0.3931327160493827,0.3743181486196031,8.8915472,17.008005,7.1701341,13.693307,15.554086,5.6027727,1544,1712,348,364,39.0,0.7458646256011051,1.500112477166532,0.5651147203608994,1.1426444806198037,1.1943798956503588,0.4096403135207624,3341.35,0.42946113753492565
228,06087,262382,131058.0,190208.0,2766.0,11112.0,2253.0,84092.0,0.522869700538358,0.4833694866232827,0.5517458603311736,0.46515756768752775,0.41715026399657523,12.711367,15.633424,12.99319,12.093228,18.847061,9.5365372,175,278,71,65,10.0,1.718090618302637,2.2119326192121096,1.6994928088543144,1.8055338498064415,2.372291417666269,1.0764839042011816,1152.99,0.4994931054721742
229,06089,177223,74888.0,153726.0,1548.0,4391.0,4950.0,14878.0,0.42022169314234414,0.48901808785529716,0.5215212935549989,0.3844444444444445,0.427409598064256,16.518543,30.828815,17.568192,36.600845,21.185154,15.219447,122,118,35,92,14.0,1.3785161133515913,2.5584872690933085,1.696680047522136,3.7697375681272205,1.6084707774950204,1.2846685835137575,9778.25,0.42256366273000684
230,06091,3240,2859.0,3022.0,6.0,12.0,44.0,269.0,0.8825281270681667,1.0,0.6666666666666666,0.9318181818181818,0.9330855018587361,10.866329,0.0,0.0,0.0,36.575874,8.9086132,1,4,1,1,0.0,2.959422592878372,0.0,0.0,0.0,10.51915568181818,2.56558574647758,2468.8,0.8824074074074074
231,06093,44900,16796.0,38030.0,571.0,540.0,1814.0,4615.0,0.38853536681567186,0.1786339754816112,0.3333333333333333,0.26681367144432194,0.30335861321776814,17.132723,40.718105,35.396519,10.055866,25.216597,15.377853,28,45,19,26,7.0,2.7120218127152147,6.694611433899038,2.675665862726666,1.4184220786933925,2.8470940692903257,1.9740552126188688,16259.67,0.37407572383073495
232,06095,413344,219694.0,210751.0,60750.0,60473.0,3212.0,99356.0,0.5123629306622507,0.5529218106995885,0.6470821689018239,0.45579078455790784,0.46629292644631426,10.352235,16.881496,5.6675816,18.431332,14.985188,6.5615339,290,265,72,113,5.0,0.9584325152448461,1.5066399876269174,0.5458613711588804,2.077480772950111,1.1897304977434722,0.5329482774225687,2128.38,0.5315040257025625
233,06097,483878,194071.0,371412.0,7610.0,18341.0,6489.0,120430.0,0.41288919044080424,0.37279894875164254,0.42396815876996896,0.35891508707042685,0.3450884331146724,10.272206,15.209693,10.475474,21.078951,16.064001,7.8634682,291,523,140,144,25.0,1.1920120500682907,1.8169631521731582,1.1299013331511722,2.585677724959877,1.6681595866437806,0.7851211850877855,4081.44,0.4010742377210785
234,06099,514453,231668.0,337342.0,14721.0,26090.0,5902.0,215658.0,0.45174333465741,0.45995516608926024,0.5061326178612495,0.43341240257539815,0.4386435930964768,16.426744,14.506809,11.904133,30.901628,23.377928,10.469224,366,293,131,162,12.0,1.8836379245531332,1.6687421586610531,1.3942442530657562,3.9826420795129933,2.5800786395737263,1.1693698009929672,3871.59,0.45031907676697386
235,06101,94737,54316.0,57749.0,1919.0,13663.0,1365.0,27251.0,0.5652911738731407,0.597186034392913,0.693185976725463,0.5362637362637364,0.4970092840629701,14.267331,31.056911,14.570172,7.0678792,25.413504,8.3776703,59,54,21,40,2.0,1.8132202281091028,3.8916173321652225,1.9287413363221952,1.0860218254665153,3.020943799555206,0.9229696768558301,1560.24,0.5733345999978889
236,06103,63463,22401.0,51721.0,406.0,656.0,1644.0,13906.0,0.350128574466851,0.5073891625615763,0.4146341463414634,0.35583941605839414,0.35747159499496617,20.256205,23.897911,21.544716,2.265372,33.394306,16.439939,33,40,10,30,4.0,1.1266377358555957,1.3184598129879892,1.7225084551418928,0.14800759267066696,1.872431235005488,0.9260216529237426,7639.72,0.35297732537068843
237,06105,13786,2428.0,12033.0,59.0,94.0,655.0,959.0,0.1767638992769883,0.0847457627118644,0.14893617021276595,0.16793893129770993,0.14181438998957246,15.069943,9.606987,12.048193,0.0,19.496855,13.635956,6,13,9,8,2.0,1.7327114815217897,1.1086258771079374,0.6665675138374227,0.0,2.137569195654846,1.2624382009706843,8234.23,0.17612070216161324
238,06107,442179,179192.0,265618.0,7196.0,15176.0,6993.0,268065.0,0.4150396433976613,0.4157865480822679,0.48556931997891406,0.3709423709423709,0.37613265439352395,22.885477,25.045446,15.797092,38.679245,30.206432,10.649868,264,212,119,157,11.0,2.4959122960519444,2.7974813462703345,1.7676506209877516,5.054498536433864,3.015467977789426,1.0780381050522467,12494.68,0.40524764857670764
239,06109,55365,19270.0,48274.0,1143.0,572.0,1039.0,5918.0,0.36638770352570743,0.05599300087489064,0.40034965034965037,0.2694898941289702,0.26512335248394725,11.680861,23.67725,6.465517,6.2992125,15.538782,11.211717,26,56,16,25,4.0,1.1749136373915336,2.507014396330984,0.10462167767726768,0.7288034019624375,1.2101637398567753,0.8590229923283703,5752.06,0.34805382461844125
240,06111,823318,383831.0,565804.0,15163.0,55446.0,8068.0,331567.0,0.49787558942672727,0.4440414166062125,0.5013165963279588,0.3787803668815072,0.35146139392641607,9.2433872,11.536082,5.6688113,12.076226,15.49007,4.8962345,634,595,167,197,10.0,0.8740825368171905,1.1650056423471669,0.510580637154691,1.2279824927583296,1.190117116840125,0.34905084814642906,4773.69,0.4662001802462718
241,06113,200849,84586.0,126883.0,5208.0,26052.0,2214.0,60953.0,0.44072097916978636,0.49174347158218124,0.37981728849992324,0.42366757000903343,0.37072826604104797,17.074411,25.099602,28.682905,27.157003,21.386887,10.926814,152,144,44,56,6.0,1.5752792344588575,2.4233355978338196,3.0899022465111794,2.2596416546895846,1.9849784643951562,0.887426213390229,2628.04,0.42114225114389414
242,06115,72155,29081.0,49332.0,2361.0,4862.0,1675.0,18051.0,0.3684018486986134,0.43540872511647605,0.49218428630193334,0.4471641791044776,0.49753476261702956,19.986055,22.195318,28.062592,26.526716,25.972691,16.519873,29,27,10,23,3.0,1.1163581635483646,1.1332265516809106,1.6933958015638306,1.8094425587130587,1.6095983715819078,1.1391048564227673,1636.46,0.40303513270043656
243,08001,441603,274481.0,323795.0,13539.0,15931.0,5916.0,167878.0,0.6292746954091323,0.5933229928355122,0.6326031008725127,0.6093644354293442,0.6050763054122636,13.914469,15.12762,9.8987923,27.090752,23.060419,7.4531903,336,232,63,125,6.0,1.2338303364912289,1.3580614114242908,0.837880194636963,2.444898934949713,2.004715887111375,0.6433701255795066,3024.2,0.6215560129799843
