Label,Type,Symbol,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,44.9357909,-72.2085989,,0000.0000,0000.0000
,,City (Small),,,,44.9340909,-72.2076989,,0000.0000,0000.0000
,,City (Small),,,,44.9461909,-72.1764989,,0000.0000,0000.0000
,,City (Small),,,,44.9359909,-72.2095989,,0000.0000,0000.0000
,,City (Small),,,,44.9448909,-72.1925989,,0000.0000,0000.0000
,,City (Small),,,,44.9474909,-72.1715989,,0000.0000,0000.0000
,,City (Small),,,,44.9416909,-72.2050989,,0000.0000,0000.0000
,,City (Small),,,,44.9460909,-72.2034989,,0000.0000,0000.0000
,,City (Small),,,,44.9355909,-72.2107989,,0000.0000,0000.0000
,,City (Small),,,,44.9362909,-72.2056989,,0000.0000,0000.0000
,,City (Small),,,,44.9428909,-72.1967989,,0000.0000,0000.0000
,,City (Small),,,,44.9428909,-72.1959989,,0000.0000,0000.0000
,,City (Small),,,,44.9389909,-72.1988989,,0000.0000,0000.0000
,,City (Small),,,,44.9422909,-72.2067989,,0000.0000,0000.0000
,,City (Small),,,,44.9422909,-72.2067989,,0000.0000,0000.0000
,,City (Small),,,,44.9293909,-72.2187989,,0000.0000,0000.0000
,,City (Small),,,,44.9293909,-72.2187989,,0000.0000,0000.0000
,,City (Small),,,,44.9397909,-72.1870989,,0000.0000,0000.0000
,,City (Small),,,,44.9327909,-72.1933989,,0000.0000,0000.0000
,,City (Small),,,,44.9369909,-72.2117989,,0000.0000,0000.0000
,,City (Small),,,,44.9490909,-72.2043989,,0000.0000,0000.0000
,,City (Small),,,,44.9490909,-72.2043989,,0000.0000,0000.0000
,,City (Small),,,,44.9518909,-72.3062988,,0000.0000,0000.0000
,,City (Small),,,,44.9338909,-72.2262989,,0000.0000,0000.0000
,,City (Small),,,,44.9928909,-72.2503988,,0000.0000,0000.0000
,,City (Small),,,,44.5933910,-72.6160988,,0000.0000,0000.0000
,,City (Small),,,,45.0002909,-72.4123988,,0000.0000,0000.0000
,,City (Small),,,,44.9099909,-72.3980988,,0000.0000,0000.0000
,,City (Small),,,,44.4932910,-73.1058986,,0000.0000,0000.0000
,,City (Small),,,,44.8127909,-72.1935989,,0000.0000,0000.0000
,,City (Small),,,,44.8112909,-72.2061989,,0000.0000,0000.0000
,,City (Small),,,,44.8081909,-72.2046989,,0000.0000,0000.0000
,,City (Small),,,,44.7983909,-72.1804989,,0000.0000,0000.0000
,,City (Small),,,,44.1489910,-72.4035989,,0000.0000,0000.0000
,,City (Small),,,,44.8042909,-72.2075989,,0000.0000,0000.0000
,,City (Small),,,,44.8042909,-72.2075989,,0000.0000,0000.0000
,,City (Small),,,,44.8105909,-72.2040989,,0000.0000,0000.0000
,,City (Small),,,,44.8105909,-72.2040989,,0000.0000,0000.0000
,,City (Small),,,,44.8098909,-72.2042989,,0000.0000,0000.0000
,,City (Small),,,,44.9479909,-72.4392988,,0000.0000,0000.0000
,,City (Small),,,,44.9474909,-72.4141988,,0000.0000,0000.0000
