Label,Type,Symbol,Description,Name on GPS,Comment,Easting,Northing,Zone,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,726052.682,4981757.545,18T,,0000.0000,0000.0000
,,City (Small),,,,722273.144,4983248.818,18T,,0000.0000,0000.0000
,,City (Small),,,,725393.620,4981634.166,18T,,0000.0000,0000.0000
,,City (Small),,,,725373.927,4981744.697,18T,,0000.0000,0000.0000
,,City (Small),,,,725076.141,4981678.591,18T,,0000.0000,0000.0000
,,City (Small),,,,725093.873,4981623.603,18T,,0000.0000,0000.0000
,,City (Small),,,,724560.996,4981504.757,18T,,0000.0000,0000.0000
,,City (Small),,,,724510.936,4981580.855,18T,,0000.0000,0000.0000
,,City (Small),,,,728575.838,4987608.972,18T,,0000.0000,0000.0000
,,City (Small),,,,724417.926,4981755.547,18T,,0000.0000,0000.0000
,,City (Small),,,,724293.577,4981473.123,18T,,0000.0000,0000.0000
,,City (Small),,,,724219.855,4981548.393,18T,,0000.0000,0000.0000
,,City (Small),,,,724219.855,4981548.393,18T,,0000.0000,0000.0000
,,City (Small),,,,724159.867,4981457.310,18T,,0000.0000,0000.0000
,,City (Small),,,,724085.757,4981543.690,18T,,0000.0000,0000.0000
,,City (Small),,,,729596.064,4987545.499,18T,,0000.0000,0000.0000
,,City (Small),,,,728291.141,4986964.769,18T,,0000.0000,0000.0000
,,City (Small),,,,728243.851,4986963.077,18T,,0000.0000,0000.0000
,,City (Small),,,,723359.410,4981084.500,18T,,0000.0000,0000.0000
,,City (Small),,,,723978.150,4981684.509,18T,,0000.0000,0000.0000
,,City (Small),,,,726289.276,4981321.013,18T,,0000.0000,0000.0000
,,City (Small),,,,717603.744,4936957.790,18T,,0000.0000,0000.0000
,,City (Small),,,,726187.091,4981083.823,18T,,0000.0000,0000.0000
,,City (Small),,,,723942.706,4981794.490,18T,,0000.0000,0000.0000
,,City (Small),,,,727116.357,4987156.426,18T,,0000.0000,0000.0000
,,City (Small),,,,728640.042,4979858.587,18T,,0000.0000,0000.0000
,,City (Small),,,,264379.181,4968988.368,19T,,0000.0000,0000.0000
,,City (Small),,,,264002.077,4970570.646,19T,,0000.0000,0000.0000
,,City (Small),,,,723246.002,4959114.634,18T,,0000.0000,0000.0000
,,City (Small),,,,722783.632,4954149.490,18T,,0000.0000,0000.0000
,,City (Small),,,,722641.806,4954122.348,18T,,0000.0000,0000.0000
,,City (Small),,,,719568.961,4956552.599,18T,,0000.0000,0000.0000
,,City (Small),,,,719624.542,4951661.167,18T,,0000.0000,0000.0000
,,City (Small),,,,719289.810,4951938.930,18T,,0000.0000,0000.0000
,,City (Small),,,,717364.902,4950439.194,18T,,0000.0000,0000.0000
,,City (Small),,,,722823.625,4954139.751,18T,,0000.0000,0000.0000
,,City (Small),,,,722791.554,4954149.764,18T,,0000.0000,0000.0000
,,City (Small),,,,722815.319,4954150.586,18T,,0000.0000,0000.0000
,,City (Small),,,,722815.319,4954150.586,18T,,0000.0000,0000.0000
,,City (Small),,,,722716.940,4954013.727,18T,,0000.0000,0000.0000
,,City (Small),,,,722667.388,4951543.036,18T,,0000.0000,0000.0000
,,City (Small),,,,715436.993,4950430.158,18T,,0000.0000,0000.0000
,,City (Small),,,,719702.739,4950529.473,18T,,0000.0000,0000.0000
,,City (Small),,,,711842.963,4944851.198,18T,,0000.0000,0000.0000
,,City (Small),,,,713989.406,4943342.798,18T,,0000.0000,0000.0000
,,City (Small),,,,714825.000,4939945.420,18T,,0000.0000,0000.0000
,,City (Small),,,,714532.249,4938946.009,18T,,0000.0000,0000.0000
,,City (Small),,,,714532.249,4938946.009,18T,,0000.0000,0000.0000
,,City (Small),,,,714538.808,4938267.890,18T,,0000.0000,0000.0000
,,City (Small),,,,714636.627,4939394.279,18T,,0000.0000,0000.0000
,,City (Small),,,,716675.437,4941886.450,18T,,0000.0000,0000.0000
,,City (Small),,,,715389.402,4939941.928,18T,,0000.0000,0000.0000
,,City (Small),,,,715389.402,4939941.928,18T,,0000.0000,0000.0000
,,City (Small),,,,717650.210,4936047.462,18T,,0000.0000,0000.0000
,,City (Small),,,,714717.127,4939363.586,18T,,0000.0000,0000.0000
,,City (Small),,,,717509.808,4936676.623,18T,,0000.0000,0000.0000
,,City (Small),,,,735531.780,4984302.359,18T,,0000.0000,0000.0000
,,City (Small),,,,683523.322,4985253.545,18T,,0000.0000,0000.0000
,,City (Small),,,,714886.312,4969506.161,18T,,0000.0000,0000.0000
,,City (Small),,,,714882.232,4965135.500,18T,,0000.0000,0000.0000
,,City (Small),,,,715678.545,4964761.829,18T,,0000.0000,0000.0000
,,City (Small),,,,715993.656,4970688.821,18T,,0000.0000,0000.0000
,,City (Small),,,,715825.165,4970994.539,18T,,0000.0000,0000.0000
,,City (Small),,,,714991.892,4964460.795,18T,,0000.0000,0000.0000
,,City (Small),,,,715825.961,4962965.183,18T,,0000.0000,0000.0000
,,City (Small),,,,713577.851,4962934.588,18T,,0000.0000,0000.0000
,,City (Small),,,,702030.212,4980319.291,18T,,0000.0000,0000.0000
,,City (Small),,,,702005.142,4980362.978,18T,,0000.0000,0000.0000
,,City (Small),,,,702327.831,4980895.812,18T,,0000.0000,0000.0000
,,City (Small),,,,698264.002,4979033.866,18T,,0000.0000,0000.0000
,,City (Small),,,,697706.902,4978405.063,18T,,0000.0000,0000.0000
,,City (Small),,,,697165.150,4978043.649,18T,,0000.0000,0000.0000
,,City (Small),,,,697165.150,4978043.649,18T,,0000.0000,0000.0000
,,City (Small),,,,697165.150,4978043.649,18T,,0000.0000,0000.0000
,,City (Small),,,,697165.150,4978043.649,18T,,0000.0000,0000.0000
,,City (Small),,,,697165.150,4978043.649,18T,,0000.0000,0000.0000
,,City (Small),,,,696983.742,4979061.025,18T,,0000.0000,0000.0000
,,City (Small),,,,696983.742,4979061.025,18T,,0000.0000,0000.0000
,,City (Small),,,,696983.742,4979061.025,18T,,0000.0000,0000.0000
,,City (Small),,,,696983.742,4979061.025,18T,,0000.0000,0000.0000
,,City (Small),,,,696821.838,4979189.471,18T,,0000.0000,0000.0000
,,City (Small),,,,693234.782,4984728.464,18T,,0000.0000,0000.0000
,,City (Small),,,,697173.383,4978032.783,18T,,0000.0000,0000.0000
,,City (Small),,,,700806.466,4979557.965,18T,,0000.0000,0000.0000
,,City (Small),,,,702119.777,4965444.088,18T,,0000.0000,0000.0000
,,City (Small),,,,701870.490,4964057.443,18T,,0000.0000,0000.0000
,,City (Small),,,,701793.483,4963232.190,18T,,0000.0000,0000.0000
,,City (Small),,,,701811.046,4963177.145,18T,,0000.0000,0000.0000
,,City (Small),,,,701761.982,4964487.691,18T,,0000.0000,0000.0000
,,City (Small),,,,702209.417,4965613.701,18T,,0000.0000,0000.0000
